"species","thr10","thr_min"
"Kaunia_rufescens",0.290436560870653,0.113797779097366
"Lafoensia_pacari",0.311146028665156,0.0317504962596533
"Lamanonia_ternata",0.410120030153841,0.0847935629543072
"Laplacea_fruticosa",0.379316015777128,0.0184289296311585
"Leandra_barbinervis",0.143735476890539,0.0353161841577261
"Leandra_laevigata",0.232529512717039,0.024729528049207
"Leandra_regnellii",0.367662082335664,0.00509960934474493
"Leandra_salicina",0.186647337746643,0.0569178287893782
"Leandra_variabilis",0.265351125882889,0.00966822071802159
"Licaria_armeniaca",0.306419399146969,0.045674240472546
"Lithraea_brasiliensis",0.310441937812682,0.0130719646365101
"Lonchocarpus_cultratus",0.374554951117091,0.113631152614702
"Lonchocarpus_nitidus",0.400634075821857,0.258635757774804
"Luehea_divaricata",0.407412730645039,0.0390593058227636
"Luetzelburgia_guaissara",0.607404978841257,0.506572151921321
"Machaerium_brasiliense",0.405855003318773,0.0629384686874799
"Machaerium_debile",0.261284299755252,0.113663360458529
"Machaerium_hatschbachii",0.413231196850489,0.0808979005598369
"Machaerium_hirtum",0.410875608958779,0.0917818958740948
"Machaerium_nyctitans",0.337725270995973,0.00251242211942543
"Machaerium_paraguariense",0.395286973336495,0.197909831568879
"Machaerium_stipitatum",0.405388388906486,0.0873274963823821
"Maclura_tinctoria",0.426800028184793,0.064312759425225
"Magnolia_ovata",0.312290522795629,0.130234317334949
"Manihot_grahamii",0.389978095994861,0.0395161003096943
"Manilkara_subsericea",0.260000507070248,0.0175744468638777
"Maprounea_brasiliensis",0.256973653739522,0.0677874409796571
"Margaritaria_nobilis",0.264986309488112,0.0339497947676575
"Matayba_elaeagnoides",0.28534166283576,0.035071724256507
"Matayba_intermedia",0.306638010202212,0.0366143068161084
"Matayba_obovata",0.35442840490414,0.339643178779787
"Maytenus_boaria",0.153475442428599,0.000184573891956114
"Meliosma_sellowii",0.216335827698309,0.0453803680409949
"Miconia_buddlejoides",0.285558065636528,0.0231251642053368
"Miconia_cinerascens",0.317988563462081,0.0129139469402313
"Miconia_cinnamomifolia",0.257366816382193,0.000354681817140212
"Miconia_cubatanensis",0.227408441582045,0.0287700968347899
"Miconia_fasciculata",0.258594000832056,0.0389370042341335
"Miconia_flammea",0.206870361921394,0.0630120886093842
"Miconia_formosa",0.266807277371416,0.065739558615174
"Miconia_hyemalis",0.383988702099079,0.101069052751345
"Miconia_inconspicua",0.401545808048755,0.140662226829151
"Miconia_ligustroides",0.337603384142497,0.0358426098997895
"Miconia_petropolitana",0.323036044644972,0.0120492559674573
"Miconia_pusilliflora",0.394744405454638,0.159604594067525
"Miconia_sellowiana",0.321974408543319,0.00897277191042611
"Miconia_theaezans",0.196300455520481,0.000360555179316435
"Miconia_valtheri",0.319669165824248,0.0789170910557246
"Mimosa_bimucronata",0.310287177832915,0.081204773235294
"Mimosa_scabrella",0.230827502854782,0.0189916011221709
"Mollinedia_argyrogyna",0.360677760128101,0.0618085885993329
"Mollinedia_clavigera",0.336117744808702,0.06430410358087
"Mollinedia_elegans",0.343368111633011,0.0620639060986515
"Mollinedia_schottiana",0.289439147381831,0.070370177096764
"Mollinedia_triflora",0.208305265824805,0.0238242554987512
"Mollinedia_uleana",0.290192821382977,0.0262321729568183
"Monteverdia_aquifolia",0.2814848641978,0.185674484412551
"Monteverdia_dasyclada",0.709602284928348,0.0552185586402263
"Monteverdia_evonymoides",0.186130571032351,0.0254864901011707
"Monteverdia_gonoclada",0.326315901252566,0.0618705519642835
"Monteverdia_patens",0.106061615107467,0.0809940872489315
"Monteverdia_truncata",0.127269820409234,0.00762442345509862
"Moquiniastrum_polymorphum",0.489618484504225,0.123618578139784
"Mouriri_chamissoana",0.286933113280593,0.0783079751506408
"Muellera_campestris",0.273600473461966,0.153129007313542
"Myrceugenia_alpigena",0.184779082651921,0.0359944013897141
"Myrceugenia_bracteosa",0.192890309547607,0.042650097217386
"Myrceugenia_campestris",0.223941968776475,0.046304897098789
"Myrceugenia_cucullata",0.391271741209533,0.150621425413784
"Myrceugenia_euosma",0.266096506824192,0.123024163514044
"Myrceugenia_glaucescens",0.274991725424081,0.109177092240429
"Myrceugenia_hoehnei",0.282618583602557,0.258679735576662
"Myrceugenia_kleinii",0.334712567771565,0.129232220855607
"Myrceugenia_mesomischa",0.470341374522374,0.320120537205788
"Myrceugenia_miersiana",0.213587546236375,0.054056674796486
"Myrceugenia_myrcioides",0.225924855143797,0.0165231415710793
"Myrceugenia_ovalifolia",0.216961603505951,0.0270641127124924
"Myrceugenia_oxysepala",0.219702758175846,0.0159820518395423
"Myrceugenia_pilotantha",0.205009518757159,0.0340391971688646
"Myrceugenia_regnelliana",0.182498887857064,0.00597654427084143
"Myrceugenia_seriatoramosa",0.415394087700828,0.227590113253654
"Myrceugenia_venosa",0.250258192286835,0.112584333186791
"Myrcia_aethusa",0.372442610634507,0.172463485082225
"Myrcia_amazonica",0.429373575618353,0.209606809685306
"Myrcia_anacardiifolia",0.223356358866479,0.0644168108945637
"Myrcia_brasiliensis",0.200016471925096,0.0412206731932147
"Myrcia_diaphana",0.4460077395896,0.42944180899352
"Myrcia_dichrophylla",0.206491912834911,0.0864334968872403
"Myrcia_eugeniopsoides",0.39386040054399,0.0136546702773848
"Myrcia_excoriata",0.437398718182833,0.280858580706573
"Myrcia_ferruginosa",0.131983473693988,0.0399252296978316
"Myrcia_flagellaris",0.268031822342374,0.0446284335883654
"Myrcia_glabra",0.279109408488242,0.0188759863032913
"Myrcia_glomerata",0.378594974913797,0.15980064987133
"Myrcia_guianensis",0.49354274621437,0.1895961393246
"Myrcia_hatschbachii",0.320718806726017,0.00524883235336682
"Myrcia_hebepetala",0.313809411507735,0.105596081584946
"Myrcia_heringii",0.220400394577334,0.135576126296077
"Myrcia_legrandii",0.176618198267204,0.0314070682741268
"Myrcia_loranthifolia",0.0379270421280715,0.00706535416209297
"Myrcia_multiflora",0.432090184653929,0.0734631404773045
"Myrcia_neolucida",0.309015928522958,0.0742312969312375
"Myrcia_neoriedeliana",0.522221984130929,0.372884394392018
"Myrcia_neorubella",0.131584734780052,0.0153527843309084
"Myrcia_oblongata",0.158394680248919,0.053108440447773
"Myrcia_palustris",0.304134877105021,0.00882229138914825
"Myrcia_pubiflora",0.458270923636317,0.375748322691705
"Myrcia_pubipetala",0.222926560750069,0.0116513758182354
"Myrcia_racemosa",0.273479291010608,0.00315836933115066
"Myrcia_reitzii",0.29435618611656,0.195361933915587
"Myrcia_retorta",0.325220294094864,0.0149474486636398
"Myrcia_rupicola",0.348140753921825,0.185513442305759
"Myrcia_selloi",0.294517201139434,0.0535306582471705
"Myrcia_spectabilis",0.208241976982243,0.0112019742917167
"Myrcia_splendens",0.434461350454639,0.0477026818227054
"Myrcia_strigipes",0.199559471919999,0.0344418759790926
"Myrcia_strigosa",0.212785782605478,0.0321507710079825
"Myrcia_subcordata",0.359398276630163,0.0139592389552294
"Myrcia_tenuivenosa",0.188831214484412,0.0136255054036826
"Myrcia_tijucensis",0.34042425827806,0.117847908766448
"Myrcia_tricona",0.548331180893757,0.536185287892853
"Myrcia_undulata",0.278857710231746,0.0625407890606444
"Myrcia_vellozoi",0.146276431348724,0.0242964993232782
"Myrcia_venulosa",0.353862374824369,0.025234045535623
"Myrcianthes_gigantea",0.411728028180084,0.163642521354004
"Myrcianthes_pungens",0.300875368819169,0.214270389359559
"Myrciaria_delicatula",0.312721089762064,0.110059527063951
"Myrciaria_floribunda",0.479673400994552,0.154626452022124
"Myrciaria_plinioides",0.231524863383241,0.129385080927341
